name,description,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,availability_365,review_scores_value,price
The little townhouse,"Welcome to our lovely private townhouse in the center of de Pijp, the Quartier Latin of Amsterdam. We are centrally located within walking distance to all the museums and other highlights in de Pijp, one of the hippest neighborhoods in Amsterdam.",De Pijp - Rivierenbuurt,Private room,Private room,2,1.0,1.0,1.0,"['Private backyard – Fully fenced', 'Outdoor furniture', 'Bathtub', 'Outdoor dining area']",199,4.73,150.0
Traditional bunker ship,"A beautiful boat (65m2) in Amsterdam north. Close to tram 26, which takes you to Centraal Station station in 5 minutes. The boat has a high bed in the tip and a sofa bed in the intermediate space. There is a kitchen with all the amenities to cook yourself. Downstairs is a large dining table and above a cabin where you can enjoy the views. With lots of outdoor space you can lie in the hammock or start the day with a dip! Parking is possible",Noord-Oost,Boat,Entire home/apt,4,1.0,1.0,1.0,"['BBQ grill', 'Blender', 'Board games']",13,4.82,150.0
Modern & light appartment Amsterdam City,"This appartment is located in central part of Amsterdam city, but silent at night. The rooms are light, spacious and stylishly furnished. On the first floor there’s a balcony and on the second floor there’s a small rooftop terrace with sunlight all day! <br /><br />The house is fully equipped, which makes the appartment a comfortable place.<br /><br />The biggest park of Amsterdam is around the corner and other beautiful famous areas, like the Jordaan, city center or canals, are only on a 10 min bike ride distance.",Westerpark,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,[],143,4.75,185.0
Luxury rooftop apartment with private hottub.,"Hi all,<br /><br />Welcome to our place in Amsterdam known as: ""Thegreenhideaway""<br />You have your OWN floor with a kitchenette, bathroom, toilet, 2 terraces, bedroom and a hottub on the terrace. <br />Your apartment is on the 5 th floor,  we (Sander & Kim) live on the 4 th floor. <br />We just share one stairs, outside of the living area, so you have total privacy. <br />Normally this advertisement is listed as whole apartment, but for bureaucratic reasons i have to list it as a private room.",Oud-Oost,Private room in bed and breakfast,Private room,2,1.5,1.0,1.0,['City skyline view'],334,4.8,375.0
Hotel schip Johanna Engelina,"You will never forget your stay in this unique accommodation. Stay on this traditional Dutch clipper from 1897. Previously, the Johanna Engelina transported cargo using her sails. Nowadays, in the old cargo space, a comfortable guesthouse has been realized with all modern comforts. <br /><br />The ship is located on the NDSM property a stone's throw from the free ferries to Amsterdam Central Station.<br />If you want to come with more than 16 people,  contact us.",Oud-Noord,Houseboat,Entire home/apt,16,3.0,10.0,33.0,"['BBQ grill', 'Canal view', 'City skyline view', 'Baking sheet']",243,4.28,900.0
Amazing renovated apt. in centre,"This unique Jordaan apartment has been renovated in August '23 and is equipped with everything you need for an unforgettable stay in Amsterdam. The perfect place for a couple, friends or a business trip at a central location. <br /><br />The separate bedroom, a functional bathroom with washer and dryer, a generous living area with open kitchen, spacious couch and beautiful original stained glass windows and with a balcony viewing the courtyard.<br /><br />Is there anything else you could wish for?",Centrum-West,Entire rental unit,Entire home/apt,3,1.5,1.0,0.0,"['Outdoor furniture', 'Free dryer – In unit', 'Board games', 'Baking sheet']",147,4.33,234.0
Rooftop Garden in Museum Quarter,"You will find everything you need for a luxurious trip to Amsterdam in this newly renovated gem.  The apartment is short walking distance from museumplein and the iconic vondelpark, yet nestled in the most exclusive and quiet neighborhood in the city. <br /><br />On warm evenings you can relax in the beautiful rooftop garden, enjoy drinks, and watch the spectacular Amsterdam sunset.  The room also has a ceiling fan, and portable air conditioning unit, a rare but important feature for in August!",Zuid,Private room in rental unit,Private room,2,1.0,1.0,0.0,"['Outdoor furniture', 'Blender', 'Free dryer – In unit', 'Outdoor dining area', 'Baking sheet']",54,5.0,191.0
"Serenity in the City - Luxe Living, Prime Location","This beautiful modern, bright and stylish apartment is located on the outskirts of the neighborhoods: Jordaan and Amsterdam West. Due to the convenient location of the apartment, it is the excellent place where you will relax optimally, and at the same time you are within walking distance of the city center and all Amsterdam hotspots! The apartment is easily accessible by car, train, and from Schiphol Airport. The public transport is also within walking distance of the apartment.",Centrum-West,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"['Free washer – In unit', 'Babysitter recommendations', 'Blender', 'Free dryer – In unit', 'Board games', 'Baking sheet']",44,4.47,398.0
Stylish & Loft-like Apartment in perfect location!,"This apartment will charm you with its open, bright and loft-like atmosphere! <br />The huge windows on both sides, the long balcony to the green courtyard, the plastering on the ceiling and the old wooden floor give the apartment its unique Amsterdamer charm while being freshly renovated and equipped with a highly modern kitchen and bathroom. <br />And the location couldn’t be any better! Oud-West is the perfect starting point for explorations of the city because it’s located in the middle of Amsterdam.",De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,['Baking sheet'],14,4.77,209.0
"4 persons, 2 studio’s + 2 luxury bathrooms","For more than 15 years we welcome guests in beautiful Amsterdam. <br /><br />Enjoy Amsterdam from your own luxury, cosy and comfortable double-studio plus 2 bathrooms on a very central and quiet location. <br />The two stylish studio’s are based in a characteristic Amsterdam house (anno 1882) that has been recently renovated. The two studio’s for 4 persons in total are next to each other. Each studio has a private attached luxury bathroom with shower, toilet, double washbasin and floor heating.",De Baarsjes - Oud-West,Private room in bed and breakfast,Private room,4,2.0,2.0,4.0,[],305,4.644438018122229,325.0
"Apartment near Vondelpark, w balcony and terrace","Spacious 95 square meter two-story apartment, lots of light, in the heart of Oud-West, Helmersbuurt, with a south-facing balcony and a large private roof terrace. The flat is 400 meters from Vondelpark, a 15-minute walk from Leidseplein, and has several tram stops around the corner. It is surrounded by shops, restaurants, cafés and bars, but the street itself is quiet. There is a supermarket 200 meters away. It is the perfect apartment and location for a couple of 2, to enjoy Amsterdam.",De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"['Barbecue utensils', 'Outdoor furniture', 'BBQ grill', 'Bathtub', 'Outdoor dining area', 'Baking sheet']",14,5.0,280.0
Adam 4 City Centrum New,Enjoy easy access to everything from this perfectly located home base. located in the heard of Amsterdam Private studio only four minutes walking from dam square and central station. the bed is up the stairs that you see in picture . fourth floor,Centrum-West,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,[],1,4.44,166.0
Mijn magische plekje in Amsterdam om te delen,My nice place that I like to share with people in need of wonder in the city and in my cottage,Bos en Lommer,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"['Blender', 'Coffee maker: espresso machine', 'Bathtub', 'Baking sheet']",117,4.73,150.0
Ruimtelijk Bagane Grond Vondelpark,"Spacious and well ordened appartment (60m) on ground floor with a nice garden (50m2). Near by Vondelpark, very nice and quiet neighbours. With Bram, my cat.",Zuid,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,[],152,4.644438018122229,70.0
Spacious 2k apartment,"Bright two-room apartment with spacious bedroom, large living room with open kitchen",Bos en Lommer,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,"['Blender', 'Baking sheet']",180,5.0,186.0
Chic and Modern Apartment near Vondelpark,"Kick back and relax in this calm, stylish space.<br /><br />You will be staying on a typical Amsterdam street, enjoying the upper floor and the quietness of the city, being just minutes away from Vondelpark and Rembrandtpark.<br /><br />This place is best suited for couples exploring the vibrant Amsterdam scenery. Multiple cafes and restaurants are available on the surrounding streets.<br /><br />Public transport is around the corner and you are well connected to the highway/airport.<br /><br />Short term rental permit Z/23/2135267",Zuid,Entire condo,Entire home/apt,2,1.0,1.0,1.0,"['Free washer – In unit', 'Outdoor furniture', 'Blender', 'Board games', 'Outdoor dining area', 'Baking sheet']",17,4.85,200.0
Cozy Flat w/Garden and Hot tub,"Beautiful Unique apartment centrally located on a a ground floor w/ garden, BBQ and Hot Tub.  Perfect retreat for two/three people seeking an unforgettable stay in Amsterdam. Just steps away from the iconic Vondelpark, this stylish flat has both convenience and comfort, making it an ideal choice for your city trip with the public transport around the corner!<br />With a fully equipped kitchen, a Ninja Wood fire Electric BBQ and a private and cozy Hot Tub to recover from exploring the city.",Zuid,Entire rental unit,Entire home/apt,3,1.0,2.0,2.0,"['Barbecue utensils', 'Outdoor furniture', 'BBQ grill', 'Board games', 'Baking sheet', 'Outdoor dining area']",12,4.75,245.0
Limited-edition design apt w/ rooftop terrace,"This duplex apartment across two floors has everything you need to live, work and play. Get the practical things like a fully equipped kitchen, fast WiFi, 24/7 support, regular professional cleaning, and fun stuff like a rooftop terrace, custom art and smart TV. Stay in comfort for as long as you’d like – days, weeks or months.",Oud-Noord,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,['High chair'],332,5.0,270.0
2 Houseboat Suites Prinsengracht Center 9 streets,"2 HouseBoatSuites Amsterdam. Stop looking, you found the most characteristic way to stay and enjoy Amsterdam: have two suites on a just newly built real Houseboat! There are no shared areas, just the hallway. Rest is private. 2 rooms have a bathroom and both suites have their own door, which can be locked. The boat is docked at Prinsengracht, right at 1 of the beautiful main canals of the centre. Perfect Romantic. NB: not the whole houseboat, you will rent the 2rooms. Boathouse Houseboat",Centrum-West,Private room in houseboat,Private room,4,0.0,2.0,1.0,['Canal view'],250,4.71,653.0
Warm & cosy appartement,"A carefully furnished home, with artworks, antiques and a room to read on a Japanese futon. Throw on some candles, pour yourself a glass of wine and enjoy your home away from home. The historic Jordaan is within 10 minutes by foot and a lot of bars and restaurants in the neighborhood for a good night out.",Westerpark,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,[],139,4.0,257.0
Sfeervol appartement op IJburg,"You rent the entire apartment on the third floor (elevator available), ideal for couples. The cozy living room has a dining table (5 people) and open kitchen/bar. The kitchen is fully equipped. The living room balcony is located on the south/east. You can enjoy the sun here almost all day long. The bedroom, with large double bed (180x200), and study are located at the rear. There is a spacious bathroom with a walk-in shower and a separate toilet with sink.",IJburg - Zeeburgereiland,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,[],100,4.644438018122229,128.0
